tmb,hrp,h2o2,imidazole,tx100,paa,tw80,pva,edta,glycerol,etoh
0.6,0.0004,0.560664471,0.269044178,25,0,0,0,0,0,0
0.591209786,0.0004,0.626699155,0,0,18.22157434,30.35215615,0,0,0,0
0.6,0.0004,0.32130839,0,26.74540598,25.51020408,0,25,0,0,0
0.6,0.0004,0.586960574,1.728580652,0,0,0,0,25,125,0
0.6,0.00043204,0.512398403,0.740652971,0,0,27.30345493,0,25,0,0
0.576675299,0.000443456,0.48,1.279720237,25,0,0,0,0,0,0
0.574964593,0.0004204,0.579768862,1.234700465,25,0,0,25,0,0,0
0.6,0.000416893,0.48,2.420012912,12.01276718,0,0,0,0,0,0
0.523371046,0.000407534,0.48,0,0,13.02798096,23.10966201,13.07182535,0,0,0
0.6,0.000426899,0.48,0,0,12.07558967,25,25,0,0,0
0.6,0.0004,0.470108639,0,37.97647502,0,0,25,0,0,0
0.6,0.0004446,0.618271625,0,0,5.256862387,35.98688893,19.54009949,0,0,0
0.58421239,0.0004,0.557994104,0,0,6.792658235,25,19.56453466,0,0,0
0.579688172,0.000420179,0.558159496,0,0,5.223095938,0,12.65175056,0,0,125
0.591127462,0.0004,0.728674476,0,40.33831469,25.51020408,0,0,0,0,0
0.6,0.0004,0.707176534,0,25,3.708633217,0,25,0,0,0
0.576201305,0.0004,0.748897177,0,26.60445911,3.080762193,0,22.20941167,0,0,0
0.6,0.0004,0.48,2.420012912,25,0,0,0,5.820056296,0,0
0.6,0.000431777,0.924605467,0,25,10.60807138,0,9.79424719,0,0,0
0.6,0.0004,0.517513056,0,0,20.85577743,25,25,0,0,0
0.6,0.000431472,0.48,1.728580652,25,0,0,0,0,0,0
0.6,0.000453947,0.48,4.743225308,0,6.077900118,15.46498764,0,0,0,0
0.6,0.000420004,0.573985959,0,0,18.69857817,25,0,0,0,0
0.6,0.0004,0.83318266,0,0,8.249234301,34.38076256,17.34965766,0,0,0
0.6,0.0004,0.639709029,0,0,3.581094388,11.4614917,25,0,0,0
0.6,0.000436639,0.48,1.234700465,0,0,23.99424181,0,0,0,0
0.6,0.000419764,0.48,2.420012912,0,0,14.70512208,0,25,0,0
0.6,0.000415241,0.48,2.2604094,40.96726528,0,0,0,0,0,0
